sample_id,image_id,label,split,roi_path,is_augmented,source_id,mean_R,mean_G,mean_B,std_R,std_G,std_B,mean_H,mean_S,mean_V,std_H,std_S,std_V,mean_L,mean_a,mean_b,std_L,std_a,std_b,mean_r_norm,mean_g_norm,mean_b_norm,std_r_norm,std_g_norm,std_b_norm
IMG_20260406_114312_r0_c0,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r0_c0.jpg,False,IMG_20260406_114312_r0_c0,186.78598,185.97536,180.98676,1.6237886,1.6284364,1.7505089,25.943594,7.89875,186.87816,3.1185348,0.39478266,1.6054424,192.80922,127.05844,130.88641,1.5166588,0.24515592,0.33270642,0.33727098,0.33590275,0.32682624,0.00065061916,0.00049376016,0.00047348638
IMG_20260406_114312_r0_c1,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r0_c1.jpg,False,IMG_20260406_114312_r0_c1,187.43773,186.5289,181.55063,4.517161,4.64722,4.8538613,25.453281,8.005586,187.49297,2.4588904,1.3419936,4.4936233,193.20262,127.09488,130.90926,4.442604,0.3030169,0.36562306,0.33737928,0.33583462,0.32677114,0.00096810516,0.00048103282,0.0010539285
IMG_20260406_114312_r0_c2,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r0_c2.jpg,False,IMG_20260406_114312_r0_c2,187.42007,186.46773,181.39688,1.9859872,1.8523405,2.1324782,25.237343,8.069414,187.43585,1.3942469,0.4744543,1.9496012,193.25641,126.98918,131.0189,1.7366314,0.108987905,0.13735117,0.33747092,0.33590248,0.32663068,0.00025609904,0.0004412886,0.00048015037
IMG_20260406_114312_r1_c0,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r1_c0.jpg,False,IMG_20260406_114312_r1_c0,183.43504,183.16434,178.56082,3.0336769,3.1991892,3.2666006,28.620155,7.231836,183.7959,5.6487083,0.67747533,3.0786583,189.78035,127.391754,130.24477,2.922795,0.49433792,0.46301597,0.33642077,0.33592555,0.32749382,0.0010594337,0.00082957157,0.0007066363
IMG_20260406_114312_r1_c1,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r1_c1.jpg,False,IMG_20260406_114312_r1_c1,123.18168,155.17242,165.28403,70.357285,37.22243,22.368834,67.89258,82.55688,167.91031,33.67501,90.52857,23.774975,159.05168,122.31633,119.55679,39.14921,4.9803386,12.159023,0.24581964,0.35668105,0.39750403,0.11593009,0.025265342,0.09114163
IMG_20260406_114312_r1_c2,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r1_c2.jpg,False,IMG_20260406_114312_r1_c2,185.05008,183.82742,178.78165,4.5936985,4.6563454,5.0726075,24.424023,8.491211,185.0682,2.491874,1.9487702,4.565149,190.82773,127.11578,131.0148,4.5503936,0.36342302,0.27485853,0.3378538,0.3357216,0.32641461,0.0013410466,0.00062582316,0.0013992803
IMG_20260406_114312_r2_c0,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r2_c0.jpg,False,IMG_20260406_114312_r2_c0,180.60294,179.855,174.7673,3.0106344,3.019752,3.3192384,26.27797,8.360976,180.73778,3.6916254,1.4494195,2.9236581,186.80902,127.04695,130.90382,2.9316826,0.42249668,0.42919797,0.33751312,0.3360924,0.32651865,0.0010964194,0.000778703,0.00111644
IMG_20260406_114312_r2_c1,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r2_c1.jpg,False,IMG_20260406_114312_r2_c1,182.80438,182.31227,177.09167,2.39877,1.9905114,2.2149475,27.507383,8.045274,183.06032,4.4175224,0.48968786,2.1591637,189.11128,126.842926,130.95844,1.998702,0.47495335,0.22736217,0.3371578,0.33630058,0.32666877,0.00081676495,0.0008662176,0.00039556212
IMG_20260406_114312_r2_c2,white_IMG_20260406_114312,white,train,/content/data/roi/white/IMG_20260406_114312_r2_c2.jpg,False,IMG_20260406_114312_r2_c2,182.50972,181.79527,176.60922,1.7717556,1.6100731,1.6392788,26.59789,8.203671,182.69785,4.2288556,0.65790427,1.6437742,188.63269,126.92641,131.0,1.5888102,0.39433345,0.0,0.3374488,0.33612624,0.32655486,0.0009260584,0.0008030121,0.00026785617
IMG_20260406_114317_r0_c0,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r0_c0.jpg,False,IMG_20260406_114317_r0_c0,190.67458,190.05597,185.02895,3.534957,3.4794888,3.572475,27.032656,7.860586,190.86378,4.245601,0.4882129,3.494822,196.10312,127.02316,130.83086,3.2694995,0.2290563,0.38475007,0.33697957,0.33590162,0.3270264,0.0008867543,0.000568617,0.0005368029
