sample_id,image_id,row,col,label,roi_path,is_augmented,source_id,split
IMG_20260406_114312_r0_c0,white_IMG_20260406_114312,0,0,white,/content/data/roi/white/IMG_20260406_114312_r0_c0.jpg,False,IMG_20260406_114312_r0_c0,train
IMG_20260406_114312_r0_c1,white_IMG_20260406_114312,0,1,white,/content/data/roi/white/IMG_20260406_114312_r0_c1.jpg,False,IMG_20260406_114312_r0_c1,train
IMG_20260406_114312_r0_c2,white_IMG_20260406_114312,0,2,white,/content/data/roi/white/IMG_20260406_114312_r0_c2.jpg,False,IMG_20260406_114312_r0_c2,train
IMG_20260406_114312_r1_c0,white_IMG_20260406_114312,1,0,white,/content/data/roi/white/IMG_20260406_114312_r1_c0.jpg,False,IMG_20260406_114312_r1_c0,train
IMG_20260406_114312_r1_c1,white_IMG_20260406_114312,1,1,white,/content/data/roi/white/IMG_20260406_114312_r1_c1.jpg,False,IMG_20260406_114312_r1_c1,train
IMG_20260406_114312_r1_c2,white_IMG_20260406_114312,1,2,white,/content/data/roi/white/IMG_20260406_114312_r1_c2.jpg,False,IMG_20260406_114312_r1_c2,train
IMG_20260406_114312_r2_c0,white_IMG_20260406_114312,2,0,white,/content/data/roi/white/IMG_20260406_114312_r2_c0.jpg,False,IMG_20260406_114312_r2_c0,train
IMG_20260406_114312_r2_c1,white_IMG_20260406_114312,2,1,white,/content/data/roi/white/IMG_20260406_114312_r2_c1.jpg,False,IMG_20260406_114312_r2_c1,train
IMG_20260406_114312_r2_c2,white_IMG_20260406_114312,2,2,white,/content/data/roi/white/IMG_20260406_114312_r2_c2.jpg,False,IMG_20260406_114312_r2_c2,train
IMG_20260406_114317_r0_c0,white_IMG_20260406_114317,0,0,white,/content/data/roi/white/IMG_20260406_114317_r0_c0.jpg,False,IMG_20260406_114317_r0_c0,test
IMG_20260406_114317_r0_c1,white_IMG_20260406_114317,0,1,white,/content/data/roi/white/IMG_20260406_114317_r0_c1.jpg,False,IMG_20260406_114317_r0_c1,test
IMG_20260406_114317_r0_c2,white_IMG_20260406_114317,0,2,white,/content/data/roi/white/IMG_20260406_114317_r0_c2.jpg,False,IMG_20260406_114317_r0_c2,test
IMG_20260406_114317_r1_c0,white_IMG_20260406_114317,1,0,white,/content/data/roi/white/IMG_20260406_114317_r1_c0.jpg,False,IMG_20260406_114317_r1_c0,test
IMG_20260406_114317_r1_c1,white_IMG_20260406_114317,1,1,white,/content/data/roi/white/IMG_20260406_114317_r1_c1.jpg,False,IMG_20260406_114317_r1_c1,test
IMG_20260406_114317_r1_c2,white_IMG_20260406_114317,1,2,white,/content/data/roi/white/IMG_20260406_114317_r1_c2.jpg,False,IMG_20260406_114317_r1_c2,test
IMG_20260406_114317_r2_c0,white_IMG_20260406_114317,2,0,white,/content/data/roi/white/IMG_20260406_114317_r2_c0.jpg,False,IMG_20260406_114317_r2_c0,test
IMG_20260406_114317_r2_c1,white_IMG_20260406_114317,2,1,white,/content/data/roi/white/IMG_20260406_114317_r2_c1.jpg,False,IMG_20260406_114317_r2_c1,test
IMG_20260406_114317_r2_c2,white_IMG_20260406_114317,2,2,white,/content/data/roi/white/IMG_20260406_114317_r2_c2.jpg,False,IMG_20260406_114317_r2_c2,test
IMG_20260406_114346_r0_c0,white_IMG_20260406_114346,0,0,white,/content/data/roi/white/IMG_20260406_114346_r0_c0.jpg,False,IMG_20260406_114346_r0_c0,val
IMG_20260406_114346_r0_c1,white_IMG_20260406_114346,0,1,white,/content/data/roi/white/IMG_20260406_114346_r0_c1.jpg,False,IMG_20260406_114346_r0_c1,val
IMG_20260406_114346_r0_c2,white_IMG_20260406_114346,0,2,white,/content/data/roi/white/IMG_20260406_114346_r0_c2.jpg,False,IMG_20260406_114346_r0_c2,val
IMG_20260406_114346_r1_c0,white_IMG_20260406_114346,1,0,white,/content/data/roi/white/IMG_20260406_114346_r1_c0.jpg,False,IMG_20260406_114346_r1_c0,val
IMG_20260406_114346_r1_c1,white_IMG_20260406_114346,1,1,white,/content/data/roi/white/IMG_20260406_114346_r1_c1.jpg,False,IMG_20260406_114346_r1_c1,val
IMG_20260406_114346_r1_c2,white_IMG_20260406_114346,1,2,white,/content/data/roi/white/IMG_20260406_114346_r1_c2.jpg,False,IMG_20260406_114346_r1_c2,val
IMG_20260406_114346_r2_c0,white_IMG_20260406_114346,2,0,white,/content/data/roi/white/IMG_20260406_114346_r2_c0.jpg,False,IMG_20260406_114346_r2_c0,val
IMG_20260406_114346_r2_c1,white_IMG_20260406_114346,2,1,white,/content/data/roi/white/IMG_20260406_114346_r2_c1.jpg,False,IMG_20260406_114346_r2_c1,val
IMG_20260406_114346_r2_c2,white_IMG_20260406_114346,2,2,white,/content/data/roi/white/IMG_20260406_114346_r2_c2.jpg,False,IMG_20260406_114346_r2_c2,val
IMG_20260406_114458_r0_c0,white_IMG_20260406_114458,0,0,white,/content/data/roi/white/IMG_20260406_114458_r0_c0.jpg,False,IMG_20260406_114458_r0_c0,train
IMG_20260406_114458_r0_c1,white_IMG_20260406_114458,0,1,white,/content/data/roi/white/IMG_20260406_114458_r0_c1.jpg,False,IMG_20260406_114458_r0_c1,train
IMG_20260406_114458_r0_c2,white_IMG_20260406_114458,0,2,white,/content/data/roi/white/IMG_20260406_114458_r0_c2.jpg,False,IMG_20260406_114458_r0_c2,train
IMG_20260406_114458_r1_c0,white_IMG_20260406_114458,1,0,white,/content/data/roi/white/IMG_20260406_114458_r1_c0.jpg,False,IMG_20260406_114458_r1_c0,train
IMG_20260406_114458_r1_c1,white_IMG_20260406_114458,1,1,white,/content/data/roi/white/IMG_20260406_114458_r1_c1.jpg,False,IMG_20260406_114458_r1_c1,train
IMG_20260406_114458_r1_c2,white_IMG_20260406_114458,1,2,white,/content/data/roi/white/IMG_20260406_114458_r1_c2.jpg,False,IMG_20260406_114458_r1_c2,train
IMG_20260406_114458_r2_c0,white_IMG_20260406_114458,2,0,white,/content/data/roi/white/IMG_20260406_114458_r2_c0.jpg,False,IMG_20260406_114458_r2_c0,train
IMG_20260406_114458_r2_c1,white_IMG_20260406_114458,2,1,white,/content/data/roi/white/IMG_20260406_114458_r2_c1.jpg,False,IMG_20260406_114458_r2_c1,train
IMG_20260406_114458_r2_c2,white_IMG_20260406_114458,2,2,white,/content/data/roi/white/IMG_20260406_114458_r2_c2.jpg,False,IMG_20260406_114458_r2_c2,train
IMG_20260406_114618_r0_c0,white_IMG_20260406_114618,0,0,white,/content/data/roi/white/IMG_20260406_114618_r0_c0.jpg,False,IMG_20260406_114618_r0_c0,val
IMG_20260406_114618_r0_c1,white_IMG_20260406_114618,0,1,white,/content/data/roi/white/IMG_20260406_114618_r0_c1.jpg,False,IMG_20260406_114618_r0_c1,val
IMG_20260406_114618_r0_c2,white_IMG_20260406_114618,0,2,white,/content/data/roi/white/IMG_20260406_114618_r0_c2.jpg,False,IMG_20260406_114618_r0_c2,val
IMG_20260406_114618_r1_c0,white_IMG_20260406_114618,1,0,white,/content/data/roi/white/IMG_20260406_114618_r1_c0.jpg,False,IMG_20260406_114618_r1_c0,val
IMG_20260406_114618_r1_c1,white_IMG_20260406_114618,1,1,white,/content/data/roi/white/IMG_20260406_114618_r1_c1.jpg,False,IMG_20260406_114618_r1_c1,val
IMG_20260406_114618_r1_c2,white_IMG_20260406_114618,1,2,white,/content/data/roi/white/IMG_20260406_114618_r1_c2.jpg,False,IMG_20260406_114618_r1_c2,val
